Fecha y hora;Martín García;San Fernando;Buenos Aires;Pilote Norden;La Plata;Atalaya;Oyarvide;San Clemente;Mar del Plata;Puerto Belgrano;Ushuaia
11/09/2026 09:45;1.54;1.60;1.47;1.25;1.15;0.87;0.80;1.43;1.32;3.37;0.20
11/09/2026 08:45;1.55;1.65;1.64;1.35;1.30;0.97;S/D;1.37;1.37;3.80;0.42
11/09/2026 07:45;1.47;1.60;1.63;1.49;1.44;1.11;0.91;1.32;1.50;4.00;0.73
11/09/2026 06:45;1.34;1.50;1.56;1.54;1.58;1.25;1.07;1.18;1.49;4.13;1.07
11/09/2026 05:45;1.20;1.36;1.44;1.49;1.60;1.45;1.23;0.93;1.43;4.12;1.28
11/09/2026 04:45;0.99;1.18;1.29;1.39;1.52;1.52;1.46;0.87;1.08;3.93;1.30
11/09/2026 03:45;0.86;0.90;1.07;1.10;1.43;1.51;1.58;0.83;0.82;3.59;1.17
11/09/2026 02:45;0.79;0.56;0.89;1.10;1.36;1.50;1.57;0.94;0.68;2.90;0.93
11/09/2026 01:45;0.80;0.58;0.56;1.00;1.19;1.42;1.54;1.06;0.64;2.15;0.63
11/09/2026 00:45;0.84;0.68;0.57;0.76;0.87;1.18;1.49;1.35;0.81;1.14;0.17
10/09/2026 23:45;0.88;0.75;0.64;0.61;0.63;0.98;1.31;1.66;1.02;1.10;-0.07
10/09/2026 22:45;0.94;0.83;0.73;0.64;0.59;0.71;1.04;1.74;1.16;1.60;-0.14
10/09/2026 21:45;0.97;0.91;0.81;0.69;0.68;0.55;S/D;1.73;1.36;2.46;0.03
10/09/2026 20:45;0.99;1.00;0.89;0.77;0.70;0.51;0.52;1.67;1.63;3.21;0.33
10/09/2026 19:45;0.98;1.07;1.00;0.81;0.69;0.57;0.47;1.59;1.77;3.79;0.72
10/09/2026 18:45;0.96;1.01;0.99;0.86;0.83;0.61;0.57;1.39;1.97;4.09;1.21
10/09/2026 17:45;0.89;0.86;0.92;0.91;0.97;0.74;0.66;1.05;1.85;4.16;1.64
10/09/2026 16:45;0.89;0.69;0.80;0.93;0.99;0.89;0.78;0.81;1.63;4.09;1.82
10/09/2026 15:45;0.89;0.61;0.67;0.88;0.88;0.95;0.86;0.65;1.27;3.92;1.77
